index,name,description,group,unit
149,SpnPos_EMS_ap,AP position of EMS spindle,4 cell-8 cell,mm
150,SpnPos_EMS_dv,DV position of EMS spindle,4 cell-8 cell,mm
151,SpnPos_EMS_lr,LR position of EMS spindle,4 cell-8 cell,mm
152,SpnDis_EMS-EC,distance between EMS spindle and the embryonic center,4 cell-8 cell,mm
153,SpnPos_P0_ap,AP position of P0 spindle,1-2 cell,mm
154,SpnPos_P0_dv,DV position of P0 spindle,1-2 cell,mm
155,SpnPos_P0_lr,LR position of P0 spindle,1-2 cell,mm
156,SpnDis_P0-EC,distance between P0 spindle and the embryonic center,1-2 cell,mm
157,SpnPos_P1_ap,AP position of P1 spindle,2 cell-4 cell,mm
158,SpnPos_P1_dv,DV position of P1 spindle,2 cell-4 cell,mm
159,SpnPos_P1_lr,LR position of P1 spindle,2 cell-4 cell,mm
160,SpnDis_P1-EC,distance between P1 spindle and the embryonic center,2 cell-4 cell,mm
161,SpnPos_P2_ap,AP position of P2 spindle,4 cell-8 cell,mm
162,SpnPos_P2_dv,DV position of P2 spindle,4 cell-8 cell,mm
163,SpnPos_P2_lr,LR position of P2 spindle,4 cell-8 cell,mm
164,SpnDis_P2-EC,distance between P2 spindle and the embryonic center,4 cell-8 cell,mm
165,NucPos_AB_ap_f,AP position of AB nucleus at the first time point of interphase,2 cell,mm
166,NucPos_AB_dv_f,DV position of AB nucleus at the first time point of interphase,2 cell,mm
167,NucPos_AB_lr_f,LR position of AB nucleus at the first time point of interphase,2 cell,mm
168,NucDis_AB_f-EC,distance between AB nucleus and the embryonic center at the first time point of interphase,2 cell,mm
169,NucPos_P1_ap_f,AP position of P1 nucleus at the first time point of interphase,2 cell,mm
170,NucPos_P1_dv_f,DV position of P1 nucleus at the first time point of interphase,2 cell,mm
171,NucPos_P1_lr_f,LR position of P1 nucleus at the first time point of interphase,2 cell,mm
172,NucDis_P1_f-EC,distance between P1 nucleus and the embryonic center at the first time point of interphase,2 cell,mm
173,NucPos_ABa_ap_f,AP position of ABa nucleus at the first time point of interphase,4 cell,mm
174,NucPos_ABa_dv_f,DV position of ABa nucleus at the first time point of interphase,4 cell,mm
175,NucPos_ABa_lr_f,LR position of ABa nucleus at the first time point of interphase,4 cell,mm
176,NucDis_ABa_f-EC,distance between ABa nucleus and the embryonic center at the first time point of interphase,4 cell,mm
177,NucPos_ABp_ap_f,AP position of ABp nucleus at the first time point of interphase,4 cell,mm
178,NucPos_ABp_dv_f,DV position of ABp nucleus at the first time point of interphase,4 cell,mm
179,NucPos_ABp_lr_f,LR position of ABp nucleus at the first time point of interphase,4 cell,mm
180,NucDis_ABp_f-EC,distance between ABp nucleus and the embryonic center at the first time point of interphase,4 cell,mm
181,NucPos_EMS_ap_f,AP position of EMS nucleus at the first time point of interphase,4 cell,mm
182,NucPos_EMS_dv_f,DV position of EMS nucleus at the first time point of interphase,4 cell,mm
183,NucDis_EMS_f-EC,distance between EMS nucleus and the embryonic center at the first time point of interphase,4 cell,mm
184,NucPos_P2_ap_f,AP position of P2 nucleus at the first time point of interphase,4 cell,mm
185,NucPos_P2_dv_f,DV position of P2 nucleus at the first time point of interphase,4 cell,mm
186,NucPos_P2_lr_f,LR position of P2 nucleus at the first time point of interphase,4 cell,mm
187,NucDis_P2_f-EC,distance between P2 nucleus and the embryonic center at the first time point of interphase,4 cell,mm
188,NucPos_ABal_ap_f,AP position of ABal nucleus at the first time point of interphase,8 cell,mm
189,NucPos_ABal_dv_f,DV position of ABal nucleus at the first time point of interphase,8 cell,mm
190,NucPos_ABal_lr_f,LR position of ABal nucleus at the first time point of interphase,8 cell,mm
191,NucDis_ABal_f-EC,distance between ABal nucleus and the embryonic center at the first time point of interphase,8 cell,mm
192,NucPos_ABar_ap_f,AP position of ABar nucleus at the first time point of interphase,8 cell,mm
193,NucPos_ABar_dv_f,DV position of ABar nucleus at the first time point of interphase,8 cell,mm
